seq,course_nm,gugan_nm,gm_range,gm_degree,start_pls,start_addr,middle_pls,middle_adr,end_pls,end_addr,gm_course
1,1코스,1코스 1구간,11.9km,중,임랑해수욕장,부산광역시 기장군 장안읍 임랑리 145-5,일광해수욕장,부산광역시 기장군 일광면 삼성리 115-28,기장군청,부산광역시 기장군 기장읍 청강리 3-3,임랑해수욕장-칠암파출소-부경대학교 수산과학연구소-일광해수욕장-기장체육관-기장군청
2,1코스,1코스 2구간,20.1km,중,기장군청,부산광역시 기장군 기장읍 기장대로 560,해동용궁사,부산광역시 기장군 기장읍 기장해안로 216,문탠로드,부산광역시 해운대구 중동 산 115-3,기장군청-죽성만-대변항-오랑대-해동용궁사-송정해수욕장-문탠로드
3,2코스,2코스 1구간,7.5km,하,문탠로드,부산광역시 해운대구 달맞이길65번길 120,동백섬,부산광역시 해운대구 우동 710-1,민락교,부산광역시 수영구 민락동 1-24,문탠로드-해운대 해수욕장-누리마루APEC하우스-민락교
4,2코스,2코스 2구간,11.6km,중,민락교,부산광역시 수영구 민락동 1-24,어울마당,부산광역시 남구 용호3동 이기대공원로,오륙도 유람선선착장,부산광역시 남구 용호2동,민락교-공안리해수욕장-동생말-어울마당-오륙도 유람선 선착장
5,3코스,3코스 1구간,12.4km,중,오륙도 유람선선착장,부산광역시 남구 용호동 산 196-10,평화공원,부산광역시 남구 신선로447번길 24,범일2동 주민센,부산광역시 동구 범일로 60-5,오륙도 유람선선착장-신선대-UN기념공원-부산외국어대학교-부산진시장
6,3코스,3코스 2구간,15.0km,중,부산진시장,부산광역시 동구 범일동 330-141,용두산공원,부산광역시 중구 동광동2가 17-6,갈맷길 안내소,부산광역시 영도구 절영로 163,부산진시장-증산공원-초량성당-부산역-백산기념관-부산근대역사관-국제시장-자갈치시장-영도대교-남항대교
7,3코스,3코스 3구간,13.7KM,중,갈맷길 안내소,부산광역시 영도구 절영로 163,해양파출소 중리출장소,부산광역시 영도구 동삼동 632-11,아미르공원,부산광역시 영도구 동삼동 1165,남항대교-절영해안산책로-중리해변-감지해변산책로-태종대 유원지입구
8,4코스,4코스 1구간,13KM,중,영도 절영해안산책로 입구,부산광역시 영도구 절영로 163,암남공원 내(두도 전망대),부산광역시 서구 암남공원로 185,감천항,부산광역시 사하구 감천항로 45,남항대교-송도해수욕장-송도해안볼레길-암남공원 입구-감천항
9,4코스,4코스 2구간,13.1km,중,감천항,부산광역시 사하구 감천항로 37,두송반도 전망대,부산광역시 사하구 다대동 1-4,몰운대,부산광역시 사하구 다대동 469-8,감천항-두송반도 전망대-몰운대
10,4코스,4코스 3구간,10.4km,중,몰운대,부산광역시 사하구 다대동 산 144,응봉봉수대,부산광역시 사하구 다대1동 산31-5,낙동강 하굿둑,부산광역시 사하구 하단동 1163,몰운대-다대포해수욕장-응봉봉수대 입구-낙동강 하굿둑
